x,y,Angle,Point,x1,y1
0.3 , 0.3 , 0 , 0.0008333333166666668 , 0.3 , 0.3008333366666666
0.3 , 0.3 , 45 , 0.0019999999 , 0.30141422 , 0.30141422
0.3 , 0.3 , 90 , 0.00039999998 , 0.300400004 , 0.3
0.3 , 0.3 , 135 , 0.0003333333166666667 , 0.3002357033333333 , 0.29976430000000004
0.3 , 0.3 , 180 , 0.0009999999666666667 , 0.3 , 0.29900000666666665
0.3 , 0.3 , 225 , 0.0014999999333333333 , 0.29893935 , 0.29893935
0.3 , 0.3 , 270 , 0.0003333333333333333 , 0.29966667333333336 , 0.3
0.3 , 0.3 , 315 , 0.0004 , 0.29971716000000004 , 0.300282852
0.4 , 0.4 , 0 , 0.0036666664666666665 , 0.39999999999999997 , 0.4036666666666668
0.4 , 0.4 , 45 , 0.009 , 0.4063639614285714 , 0.4063639614285714
0.4 , 0.4 , 90 , 0.0037142857142857147 , 0.40371429714285717 , 0.39999999999999997
0.4 , 0.4 , 135 , 0.0044 , 0.40311126399999997 , 0.396888748
0.4 , 0.4 , 180 , 0.004571428571428572 , 0.39999999999999997 , 0.3954285742857143
0.4 , 0.4 , 225 , 0.010833332916666667 , 0.39233967833333333 , 0.39233967833333333
0.4 , 0.4 , 270 , 0.0031428571428571426 , 0.3968571542857143 , 0.39999999999999997
0.4 , 0.4 , 315 , 0.0018571428571428573 , 0.3986868085714286 , 0.4013131985714286
0.35 , 0.42 , 0 , 0.007333333333333333 , 0.35000000000000003 , 0.42733333
0.35 , 0.42 , 45 , 0.004 , 0.35282842000000003 , 0.4228284183333333
0.35 , 0.42 , 90 , 0.0014999999833333333 , 0.3514999966666667 , 0.42
0.35 , 0.42 , 135 , 0.0016666666666666668 , 0.3511785033333333 , 0.41882148833333327
0.35 , 0.42 , 180 , 0.00266666665 , 0.35000000000000003 , 0.41733331999999995
0.35 , 0.42 , 225 , 0.0099999998 , 0.34292891999999997 , 0.412928916
0.35 , 0.42 , 270 , 0.0058000000000000005 , 0.34419998399999996 , 0.42000000000000004
0.35 , 0.42 , 315 , 0.006 , 0.34575737 , 0.42424262000000007
