x,y,Angle,Point,x1,y1
0.3 , 0.3 , 0 , 0.0026923076576923083 , 0.2999999999999999 , 0.30269231615384623
0.3 , 0.3 , 45 , 0.0038799999639999986 , 0.30274358119999994 , 0.30274358119999994
0.3 , 0.3 , 90 , 0.003115384603846154 , 0.30311539538461535 , 0.2999999999999999
0.3 , 0.3 , 135 , 0.002962962951851852 , 0.3020951348148148 , 0.29790488
0.3 , 0.3 , 180 , 0.003518518503703704 , 0.29999999999999993 , 0.29648148444444444
0.3 , 0.3 , 225 , 0.0043333332962962965 , 0.2969358807407407 , 0.2969358807407407
0.3 , 0.3 , 270 , 0.002555555525925926 , 0.2974444481481481 , 0.29999999999999993
0.3 , 0.3 , 315 , 0.0027307692230769238 , 0.2980690661538462 , 0.30193095384615387
0.4 , 0.4 , 0 , 0.007333333137037038 , 0.40000000000000013 , 0.4073333377777778
0.4 , 0.4 , 45 , 0.02396000020000001 , 0.4169422836 , 0.4169422836
0.4 , 0.4 , 90 , 0.005499999996428574 , 0.4055000100000002 , 0.4000000000000002
0.4 , 0.4 , 135 , 0.005759999960000003 , 0.4040729363999999 , 0.39592707800000004
0.4 , 0.4 , 180 , 0.007607142857142859 , 0.4000000000000002 , 0.39239285785714284
0.4 , 0.4 , 225 , 0.018846153826923083 , 0.3866737630769231 , 0.3866737630769231
0.4 , 0.4 , 270 , 0.004642857107142859 , 0.3953571485714287 , 0.4000000000000002
0.4 , 0.4 , 315 , 0.004285714250000002 , 0.39696955392857136 , 0.4030304567857143
0.35 , 0.42 , 0 , 0.011769230653846156 , 0.34999999999999987 , 0.43176922192307693
0.35 , 0.42 , 45 , 0.008458333312500002 , 0.3559809366666666 , 0.4259809320833334
0.35 , 0.42 , 90 , 0.0032692307615384626 , 0.3532692253846153 , 0.42
0.35 , 0.42 , 135 , 0.003639999988 , 0.352573856 , 0.41742612879999996
0.35 , 0.42 , 180 , 0.0062962961814814825 , 0.34999999999999987 , 0.41370369925925926
0.35 , 0.42 , 225 , 0.012076922961538462 , 0.34146032269230775 , 0.4114603138461538
0.35 , 0.42 , 270 , 0.006559999960000003 , 0.34343999199999986 , 0.42
0.35 , 0.42 , 315 , 0.006999999961538465 , 0.34505025769230774 , 0.4249497292307692
